Game ID,Year,Region,Team Blue,Team Red,Winner,FT5 Winner,Champ 1,Champ 2,Champ 3,Champ 4,Champ 5,Champ 6,Champ 7,Champ 8,Champ 9,Champ 10
63214,2025,LCS,Shopify Rebellion,FlyQuest,FlyQuest,FlyQuest,Jax,Skarner,Hwei,Varus,Leona,Urgot,Ivern,Cassiopeia,Ashe,Rell
63215,2025,LCS,Shopify Rebellion,FlyQuest,FlyQuest,FlyQuest,KSante,Vi,Viktor,Caitlyn,Maokai,Ambessa,Sejuani,Azir,Jhin,Neeko
63217,2025,LCS,LYON,Cloud9,Cloud9,Cloud9,Ambessa,Nocturne,Orianna,Miss Fortune,Rell,Renekton,Wukong,Aurora,Ashe,Braum
63218,2025,LCS,LYON,Cloud9,Cloud9,LYON,Poppy,Vi,Ahri,Varus,Rakan,Gnar,Sejuani,Yone,Ziggs,Leona
63220,2025,LCS,Berlin International Gaming,Unicorns of Love Sexy Edition,Berlin International Gaming,Unicorns of Love Sexy Edition,KSante,Vi,Viktor,Xayah,Rakan,Aurora,Wukong,Galio,Aphelios,Rell
63221,2025,LCS,Berlin International Gaming,Unicorns of Love Sexy Edition,Berlin International Gaming,Berlin International Gaming,Ambessa,Xin Zhao,Orianna,Corki,Renata Glasc,Jax,Sejuani,Akali,Varus,Lulu
63418,2025,LCS,Disguised,100 Thieves,100 Thieves,100 Thieves,Jayce,Vi,Azir,Ezreal,Elise,Ambessa,Viego,Galio,Varus,Poppy
63419,2025,LCS,Disguised,100 Thieves,100 Thieves,Disguised,Rumble,Wukong,Orianna,Jinx,Braum,Aurora,Xin Zhao,Akali,Miss Fortune,Rell
63421,2025,LCS,Dignitas,Team Liquid,Team Liquid,Team Liquid,Rumble,Sejuani,Yone,Kalista,Senna,KSante,Wukong,Azir,Draven,Renata Glasc
63422,2025,LCS,Dignitas,Team Liquid,Team Liquid,Team Liquid,Aurora,Nocturne,Orianna,Ezreal,Leona,Renekton,Vi,Taliyah,Corki,Pantheon
63424,2025,LCS,LOUD,Vivo Keyd Stars,Vivo Keyd Stars,Vivo Keyd Stars,Maokai,Viego,Aurora,Ezreal,Leona,Gnar,Zyra,Jayce,Ashe,Braum
63425,2025,LCS,LOUD,Vivo Keyd Stars,LOUD,Vivo Keyd Stars,Pantheon,Sejuani,Viktor,Corki,Alistar,Jax,Ivern,Azir,Caitlyn,Rell
63426,2025,LCS,Vivo Keyd Stars,LOUD,LOUD,LOUD,KSante,Xin Zhao,Ahri,Jinx,Thresh,Poppy,Zac,Taliyah,Xayah,Rakan
63473,2025,LCS,Disguised,Dignitas,Disguised,Disguised,Jayce,Ivern,Ambessa,Varus,Rell,Rumble,Vi,Orianna,Corki,Alistar
63474,2025,LCS,Dignitas,Disguised,Dignitas,Dignitas,KSante,Wukong,Aurora,Kaisa,Nautilus,Udyr,Xin Zhao,Taliyah,Ashe,Leona
63475,2025,LCS,Disguised,Dignitas,Dignitas,Dignitas,Maokai,Lee Sin,Yone,Ziggs,Blitzcrank,Jax,Sejuani,Sylas,Zeri,Braum
63476,2025,LCS,LYON,Shopify Rebellion,LYON,LYON,KSante,Vi,Aurora,Ezreal,Pantheon,Jayce,Sejuani,Viktor,Corki,Braum
63477,2025,LCS,Shopify Rebellion,LYON,Shopify Rebellion,LYON,Ambessa,Maokai,Azir,Caitlyn,Rell,Rumble,Xin Zhao,Sylas,Miss Fortune,Poppy
63478,2025,LCS,LYON,Shopify Rebellion,Shopify Rebellion,Shopify Rebellion,Urgot,Viego,Ahri,Varus,Rakan,Renekton,Amumu,Yone,Ziggs,Nautilus
63479,2025,LCS,Team Liquid,100 Thieves,100 Thieves,100 Thieves,Rumble,Vi,Aurora,Corki,Nautilus,Ornn,Maokai,Jayce,Ezreal,Poppy
63480,2025,LCS,Team Liquid,100 Thieves,Team Liquid,100 Thieves,Renekton,Xin Zhao,Azir,Varus,Pantheon,Gnar,Sejuani,Sylas,Ashe,Rakan
63481,2025,LCS,100 Thieves,Team Liquid,100 Thieves,100 Thieves,KSante,Wukong,Viktor,Kaisa,Elise,Ambessa,Zyra,Galio,Jinx,Leona
63482,2025,LCS,FlyQuest,Cloud9,FlyQuest,FlyQuest,KSante,Zyra,Cassiopeia,Corki,Rell,Jayce,Vi,Azir,Ezreal,Leona
63483,2025,LCS,Cloud9,FlyQuest,Cloud9,Cloud9,Rumble,Sejuani,Yone,Jhin,Alistar,Galio,Maokai,Smolder,Kaisa,Rakan
63484,2025,LCS,FlyQuest,Cloud9,Cloud9,Cloud9,Urgot,Ivern,Viktor,Ashe,Nautilus,Camille,Wukong,Taliyah,Ziggs,Bard
63485,2025,LCS,Eintracht Frankfurt,CGN Esports,CGN Esports,N/A,Ambessa,Nocturne,Sylas,Ezreal,Leona,Cassiopeia,Jarvan IV,Yone,Kaisa,Maokai
63486,2025,LCS,Lille Esport,Skillcamp,Lille Esport,Lille Esport,Renekton,Maokai,Viktor,Ezreal,Leona,KSante,Lillia,Corki,Kaisa,Rell
63487,2025,LCS,Zerance,Karmine Corp Blue Stars,Zerance,Zerance,Jayce,Amumu,Yone,Varus,Rell,Aatrox,Maokai,Aurora,Jhin,Leona
63553,2025,LCS,100 Thieves,Cloud9,100 Thieves,100 Thieves,Jax,Zyra,Ambessa,Corki,Poppy,Renekton,Sejuani,Yone,Varus,Leona
63554,2025,LCS,Team Liquid,Shopify Rebellion,Team Liquid,Team Liquid,Rumble,Xin Zhao,Taliyah,Varus,Nautilus,Ambessa,Maokai,Orianna,Corki,Rell
63555,2025,LCS,Shopify Rebellion,Team Liquid,Team Liquid,Shopify Rebellion,KSante,Wukong,Akali,Ezreal,Alistar,Jayce,Volibear,Azir,Kaisa,Rakan
63557,2025,LCS,Dignitas,FlyQuest,FlyQuest,FlyQuest,KSante,Skarner,Aurora,Corki,Bard,Swain,Xin Zhao,Hwei,Varus,Poppy
63558,2025,LCS,FlyQuest,Dignitas,FlyQuest,FlyQuest,Garen,Lillia,Yone,Ezreal,Leona,Camille,Sejuani,Sylas,Kaisa,Elise
63560,2025,LCS,Isurus,RED Canids,RED Canids,RED Canids,Jayce,Wukong,Aurora,Ashe,Bard,Renekton,Sejuani,Viktor,Varus,Rakan
63561,2025,LCS,Isurus,RED Canids,Isurus,RED Canids,Rumble,Xin Zhao,Sylas,Ezreal,Poppy,Galio,Vi,Ahri,Zeri,Rell
63562,2025,LCS,RED Canids,Isurus,Isurus,Isurus,Gnar,Lillia,Sion,Corki,Leona,Jax,Viego,Azir,Caitlyn,Elise
63925,2025,LCS,Team Liquid,FlyQuest,FlyQuest,Team Liquid,KSante,Skarner,Azir,Ashe,Renata Glasc,Ambessa,Vi,Cassiopeia,Corki,Neeko
63926,2025,LCS,LOUD,paiN Gaming,LOUD,LOUD,Jax,Skarner,Mel,Ezreal,Rakan,KSante,Brand,Yone,Ashe,Neeko
63927,2025,LCS,100 Thieves,paiN Gaming,100 Thieves,paiN Gaming,KSante,Sejuani,Yone,Ashe,Rakan,Aurora,Zyra,Corki,Varus,Rell
63928,2025,LCS,paiN Gaming,100 Thieves,100 Thieves,paiN Gaming,Ambessa,Ivern,Azir,Ezreal,Alistar,Jax,Vi,Taliyah,Kaisa,Pantheon
63930,2025,LCS,Leviatan,FlyQuest,FlyQuest,FlyQuest,Ambessa,Maokai,Taliyah,Ezreal,Rell,Volibear,Sejuani,Mel,Varus,Rakan
63931,2025,LCS,Leviatan,FlyQuest,FlyQuest,Leviatan,Gnar,Nidalee,Azir,Ashe,Braum,KSante,Lillia,Corki,Jhin,Pyke
63933,2025,LCS,Cloud9,LOUD,Cloud9,Cloud9,KSante,Zyra,Hwei,Corki,Rell,Olaf,Skarner,Aurora,Ezreal,Leona
63934,2025,LCS,LOUD,Cloud9,Cloud9,Cloud9,Jax,Sejuani,Ahri,Kaisa,Nautilus,Ambessa,Vi,Taliyah,Xayah,Poppy
63936,2025,LCS,Isurus,Team Liquid,Team Liquid,Isurus,Ambessa,Sejuani,Azir,Varus,Elise,Rumble,Xin Zhao,Ziggs,Ezreal,Pantheon
63937,2025,LCS,Isurus,Team Liquid,Isurus,Team Liquid,Gangplank,Vi,Aurora,Ashe,Braum,Jax,Poppy,Taliyah,Kaisa,Rakan
63938,2025,LCS,Team Liquid,Isurus,Team Liquid,Team Liquid,Shen,Skarner,Cassiopeia,Xayah,Rell,Camille,Ivern,Yone,Jhin,Nautilus
63939,2025,LCS,Gen.G Global Academy,BNK FEARX Youth,Gen.G Global Academy,BNK FEARX Youth,Rumble,Nidalee,Jayce,Ashe,Leona,KSante,Sejuani,Azir,Varus,Rell
63940,2025,LCS,BNK FEARX Youth,Gen.G Global Academy,BNK FEARX Youth,BNK FEARX Youth,Jax,Vi,Aurora,Kaisa,Pantheon,Gragas,Xin Zhao,Sylas,Ezreal,Nautilus
