Game ID,Year,Region,Team Blue,Team Red,Winner,FT5 Winner,Champ 1,Champ 2,Champ 3,Champ 4,Champ 5,Champ 6,Champ 7,Champ 8,Champ 9,Champ 10
73112,2026,LCK,DN SOOPers,KT Rolster,DN SOOPers,DN SOOPers,Rumble,Wukong,Ahri,Corki,Pantheon,KSante,Malphite,Taliyah,Yunara,Alistar
73113,2026,LCK,DN SOOPers,KT Rolster,KT Rolster,KT Rolster,Sion,Dr. Mundo,Viktor,Ashe,Soraka,Renekton,Sylas,Ryze,Lucian,Braum
73114,2026,LCK,KT Rolster,DN SOOPers,KT Rolster,DN SOOPers,RekSai,Jarvan IV,Zoe,Aphelios,Thresh,Ambessa,Nocturne,Aurora,Ziggs,Rell
73115,2026,LCK,Dplus KIA,HANJIN BRION,Dplus KIA,Dplus KIA,Ambessa,Jarvan IV,Ryze,Ezreal,Karma,RekSai,Xin Zhao,Taliyah,Yunara,Neeko
73116,2026,LCK,Dplus KIA,HANJIN BRION,Dplus KIA,Dplus KIA,Rumble,Pantheon,LeBlanc,Sivir,Bard,KSante,Nocturne,Orianna,Jhin,Elise
73118,2026,LCK,DRX,Gen.G,Gen.G,Gen.G,Kennen,Xin Zhao,Orianna,Yunara,Alistar,Renekton,Pantheon,Azir,Corki,Nami
73119,2026,LCK,Gen.G,DRX,Gen.G,Gen.G,Ambessa,Wukong,Ryze,Ezreal,Leona,Sion,Jarvan IV,Cassiopeia,Jhin,Bard
73121,2026,LCK,Nongshim RedForce,BNK FearX,BNK FearX,BNK FearX,Sion,Malphite,Taliyah,Aphelios,Karma,RekSai,Nautilus,Ahri,Yunara,Lulu
73122,2026,LCK,BNK FearX,Nongshim RedForce,BNK FearX,Nongshim RedForce,Kennen,Pantheon,Sylas,Ezreal,Neeko,Renekton,Wukong,Orianna,Varus,Alistar
73124,2026,LCK,Dplus KIA,DN SOOPers,Dplus KIA,Dplus KIA,KSante,Ambessa,Ryze,Yunara,Lulu,Rumble,Wukong,Taliyah,Corki,Nami
73125,2026,LCK,Dplus KIA,DN SOOPers,Dplus KIA,Dplus KIA,Gwen,Xin Zhao,Ekko,Varus,Rakan,Sion,Jarvan IV,Syndra,Ashe,Braum
73127,2026,LCK,T1,Hanwha Life Esports,Hanwha Life Esports,T1,Ambessa,Pantheon,Ryze,Lucian,Milio,Rumble,Vi,Taliyah,Corki,Alistar
73128,2026,LCK,Hanwha Life Esports,T1,T1,T1,Gnar,Wukong,Aurora,Ziggs,Rakan,KSante,Xin Zhao,Sylas,Aphelios,Lulu
73129,2026,LCK,T1,Hanwha Life Esports,T1,T1,Akali,Nocturne,Orianna,Sivir,Bard,RekSai,Jarvan IV,Azir,Jhin,Nautilus
73130,2026,LCK,BNK FearX,HANJIN BRION,BNK FearX,HANJIN BRION,Renekton,Pantheon,Azir,Xayah,Rakan,Gnar,Vi,Taliyah,Ezreal,Leona
